work_year,experience_level,job_title,salary_in_usd
2022,SE,Data Engineer,113000
2022,SE,Data Analyst,135000
2022,SE,Data Science Manager,161342
2022,SE,Data Science Manager,137141
2022,SE,Data Scientist,167000
2022,SE,Data Scientist,123000
2022,SE,Data Engineer,78526
2022,SE,Data Engineer,65438
2022,SE,Data Scientist,150000
2022,SE,Data Scientist,211500
2022,SE,Data Architect,192400
2022,SE,Data Architect,90700
2022,SE,Data Analyst,130000
2022,SE,Data Analyst,61300
2022,SE,Data Analyst,130000
2022,SE,Data Analyst,61300
2022,SE,Data Engineer,160000
2022,SE,Data Scientist,138600
2022,SE,Data Engineer,136000
2022,MI,Data Analyst,58000
2022,EX,Analytics Engineer,135000
2022,SE,Data Scientist,170000
2022,SE,Data Scientist,123000
2022,SE,Machine Learning Engineer,189650
2022,SE,Machine Learning Engineer,164996
2022,MI,ETL Developer,54957
2022,MI,ETL Developer,54957
2022,EX,Lead Data Engineer,118187
2022,SE,Data Analyst,132000
2022,SE,Data Engineer,165400
2022,SE,Data Architect,208775
2022,SE,Data Architect,147800
2022,SE,Data Engineer,136994
2022,SE,Data Engineer,101570
2022,SE,Data Analyst,128875
2022,SE,Data Analyst,93700
2022,EX,Head of Machine Learning,79039
2022,SE,Data Engineer,132320
2022,EN,Machine Learning Engineer,37300
2022,SE,Data Analyst,164000
2022,SE,Data Engineer,155000
2022,MI,Machine Learning Engineer,124333
2022,MI,Machine Learning Engineer,98158
2022,MI,AI Scientist,120000
2022,SE,Data Analyst,112900
2022,SE,Data Analyst,90320
2022,SE,Data Analytics Manager,145000
2022,SE,Data Analytics Manager,105400
2022,MI,Machine Learning Engineer,87932
2022,MI,Data Engineer,117789
2022,SE,Data Scientist,215300
2022,SE,Data Scientist,158200
2022,SE,Data Engineer,209100
2022,SE,Data Engineer,154600
2022,SE,Data Analyst,115934
2022,SE,Data Analyst,81666
2022,SE,Data Engineer,175000
2022,MI,Data Engineer,98158
2022,MI,Data Analyst,58000
2022,SE,Data Engineer,183600
2022,MI,Data Analyst,52351
2022,SE,Data Scientist,180000
2022,MI,Data Scientist,71982
2022,MI,Data Scientist,45807
2022,MI,Data Engineer,65949
2022,MI,Data Engineer,49461
2022,MI,Data Engineer,78526
2022,MI,Data Engineer,58894
2022,SE,Data Scientist,260000
2022,SE,Data Science Engineer,60000
